"","Params","logL","AICc","deltaAICc","weight","cumwt"
"c",2,-70.1406,144.3675,0,0.7364,0.7364
"c.da",3,-70.1307,146.4353,2.0678,0.2619,0.9983
"d",2,-76.2136,156.5136,12.1462,0.0017,1
"v",2,-89.3888,182.8639,38.4965,0,1
"null",1,-98.4269,198.8824,54.5149,0,1
"da",2,-98.3487,200.7838,56.4163,0,1
"w",2,-98.3492,200.7847,56.4172,0,1
