"","Params","logL","AICc","deltaAICc","weight","cumwt"
"c.w",3,-55.8618,117.8975,0,0.4312,0.4312
"c.da",3,-56.0492,118.2723,0.3747,0.3575,0.7887
"c.da.w",4,-55.5612,119.4143,1.5168,0.202,0.9907
"v",2,-61.0853,126.2569,8.3593,0.0066,0.9973
"w",2,-62.587,129.2604,11.3628,0.0015,0.9988
"da",2,-62.7656,129.6175,11.72,0.0012,1
"d",2,-71.1216,146.3295,28.4319,0,1
"c",2,-73.9626,152.0115,34.114,0,1
"null",1,-76.2462,154.521,36.6234,0,1
