"","Params","logL","AICc","deltaAICc","weight","cumwt"
"c.w.inter",4,-66.4325,141.1569,0,0.7857,0.7857
"c",2,-70.1406,144.3675,3.2105,0.1578,0.9435
"dar.c",3,-70.1307,146.4353,5.2784,0.0561,0.9996
"dep",2,-76.2136,156.5136,15.3567,4e-04,1
"v",2,-89.3888,182.8639,41.707,0,1
"null",1,-98.4269,198.8824,57.7254,0,1
"dar",2,-98.3487,200.7838,59.6268,0,1
"w",2,-98.3492,200.7847,59.6278,0,1
"dar.w",3,-97.8345,201.8429,60.6859,0,1
