"","Params","logL","AICc","deltaAICc","weight","cumwt"
"dep",2,-148.8055,301.6593,0,0.9591,0.9591
"c",2,-152.7725,309.5931,7.9338,0.0182,0.9772
"c.w.inter",4,-151.1317,310.4253,8.7661,0.012,0.9892
"dar.c",3,-152.2699,310.6365,8.9773,0.0108,1
"v",2,-162.072,328.1922,26.5329,0,1
"dar.w",3,-167.2586,340.614,38.9547,0,1
"null",1,-174.6731,351.3622,49.7029,0,1
"w",2,-173.6758,351.3998,49.7406,0,1
"dar",2,-174.5131,353.0743,51.4151,0,1
