dep,vel,csi,wsg,dar,redd,site
1.352721,0.113057,0.118965,0.000012,0.000000,0,mrr
0.869455,0.090119,0.172239,0.000063,0.000001,0,mrr
0.295508,0.702975,0.696858,0.005794,0.000112,0,mrr
0.266940,0.056722,0.000000,0.000120,0.000002,0,mrr
1.891994,0.119422,0.000000,0.000057,0.000001,0,mrr
0.351810,0.088057,0.151350,0.000216,0.000004,0,mrr
1.984333,0.154071,0.000000,0.000038,0.000001,0,mrr
1.446169,0.115834,0.097084,0.000067,0.000001,0,mrr
0.548808,0.169021,0.324501,0.001258,0.000024,0,mrr
0.354849,1.140353,0.549444,0.130358,0.002516,0,mrr
0.218833,1.457327,0.000000,0.037603,0.000726,0,mrr
0.565809,0.186250,0.350397,0.000262,0.000005,0,mrr
0.838911,0.294060,0.472233,0.000298,0.000006,0,mrr
2.838901,0.032724,0.000000,0.000006,0.000000,0,mrr
1.415722,0.208630,0.169881,0.000075,0.000001,0,mrr
0.721896,0.667333,0.936798,0.004243,0.000082,0,mrr
0.765112,0.363991,0.613997,0.000737,0.000014,0,mrr
0.540314,0.316514,0.575928,0.000701,0.000014,0,mrr
1.046321,0.142465,0.213051,0.000038,0.000001,0,mrr
1.211027,0.172406,0.210007,0.000036,0.000001,0,mrr
2.179750,0.104459,0.000000,0.000009,0.000000,0,mrr
1.966500,0.096788,0.000000,0.000033,0.000001,0,mrr
0.940307,0.267568,0.400461,0.000041,0.000001,0,mrr
2.229123,0.109665,0.000000,0.000063,0.000001,0,mrr
2.101726,0.098206,0.000000,0.000027,0.000001,0,mrr
0.000000,0.000000,0.000000,0.014062,0.000271,0,mrr
0.898514,0.081569,0.000000,0.000099,0.000002,0,mrr
0.643528,0.177236,0.332543,0.000623,0.000012,0,mrr
0.316155,1.234890,0.423135,0.014405,0.000278,0,mrr
1.381501,0.130347,0.126031,0.000168,0.000003,0,mrr
0.501098,0.502272,0.853492,0.001267,0.000024,0,mrr
2.248430,0.107414,0.000000,0.000036,0.000001,0,mrr
2.306780,0.117273,0.000000,0.000016,0.000000,0,mrr
1.621768,0.147926,0.000000,0.000081,0.000002,0,mrr
0.710293,0.204902,0.357061,0.000234,0.000005,0,mrr
1.578161,0.028800,0.000000,0.000061,0.000001,0,mrr
0.408916,0.364005,0.589458,0.003008,0.000058,0,mrr
0.272508,0.026849,0.000000,0.000069,0.000001,0,mrr
1.225492,0.033988,0.000000,0.000011,0.000000,0,mrr
0.294846,0.030035,0.000000,0.000831,0.000016,0,mrr
0.241192,0.812673,0.581904,0.008446,0.000030,1,rr
0.296646,1.001888,0.583353,0.006593,0.000024,1,rr
0.360711,0.793283,0.803986,0.003182,0.000011,1,rr
0.370767,0.771038,0.824914,0.002786,0.000010,1,rr
0.361309,0.812813,0.799594,0.005035,0.000018,1,rr
0.327571,0.835101,0.735852,0.005127,0.000018,1,rr
0.435112,0.931024,0.824538,0.007409,0.000027,1,rr
0.302787,0.994627,0.597945,0.005858,0.000021,1,rr
0.391617,0.941428,0.767007,0.003627,0.000013,1,rr
0.359719,0.682358,0.812448,0.004659,0.000017,1,rr
0.299306,0.554663,0.652793,0.004865,0.000018,1,rr
0.691586,0.935168,0.860372,0.006566,0.000024,1,rr
0.436470,1.047762,0.722033,0.006047,0.000022,1,rr
0.419088,1.103647,0.645701,0.006179,0.000022,1,rr
0.445914,1.059337,0.718745,0.005307,0.000019,1,rr
0.491857,0.985817,0.822319,0.001164,0.000004,1,rr
0.461851,0.738959,0.940990,0.002040,0.000007,1,rr
0.436064,0.758869,0.911521,0.002466,0.000009,1,rr
0.497062,0.825674,0.944817,0.002332,0.000008,1,rr
0.584443,0.883423,0.938431,0.001595,0.000006,1,rr
0.437479,0.899491,0.850323,0.004555,0.000016,1,rr
0.483878,1.039414,0.765846,0.002916,0.000010,1,rr
0.622264,0.988391,0.842363,0.004231,0.000015,1,rr
0.410816,1.129660,0.611649,0.007749,0.000028,1,rr
0.471561,1.129099,0.657359,0.007343,0.000026,1,rr
0.537878,1.058905,0.769846,0.002940,0.000011,1,rr
0.481320,1.009909,0.792694,0.003351,0.000012,1,rr
0.545338,1.048272,0.782845,0.002085,0.000008,1,rr
0.530439,0.828284,0.961264,0.003748,0.000013,1,rr
0.255054,0.814427,0.607145,0.004346,0.000016,1,rr
0.303250,0.917557,0.649894,0.006371,0.000023,1,rr
0.448437,0.668342,0.923508,0.000947,0.000003,1,rr
0.513477,0.926608,0.889008,0.002925,0.000011,1,rr
0.441021,1.003495,0.767130,0.003709,0.000013,1,rr
0.476223,0.626480,0.933633,0.001733,0.000006,1,rr
0.670698,1.006480,0.804426,0.004211,0.000015,1,rr
0.589075,0.945947,0.887834,0.001252,0.000005,1,rr
0.609286,0.894295,0.930797,0.002060,0.000007,1,rr
0.549878,0.811269,0.973901,0.002063,0.000007,1,rr
0.334450,0.643272,0.762150,0.003817,0.000014,1,rr
0.220491,0.742409,0.552525,0.010797,0.000039,1,rr
0.346474,0.845152,0.764306,0.007424,0.000027,1,rr
0.407008,0.852466,0.844685,0.006527,0.000023,1,rr
0.295863,1.153402,0.466013,0.014616,0.000053,1,rr
0.239291,0.884035,0.554575,0.012544,0.000045,1,rr
0.461162,1.267548,0.509141,0.006477,0.000023,1,rr
0.651664,0.872871,0.925793,0.003549,0.000013,1,rr
0.650272,0.899759,0.908004,0.001038,0.000004,1,rr
0.554796,0.754585,0.992226,0.001212,0.000004,1,rr
0.434492,0.584240,0.870277,0.001120,0.000004,1,rr
0.568287,0.803934,0.979318,0.002802,0.000010,1,rr
0.425792,0.726417,0.904361,0.003444,0.000012,1,rr
0.440515,0.842513,0.887972,0.004848,0.000017,1,rr
0.295766,0.836065,0.675058,0.009129,0.000033,1,rr
0.225337,0.793970,0.554680,0.007394,0.000027,1,rr
0.421190,0.523442,0.807982,0.001139,0.000004,0,rr
1.099484,0.445139,0.573999,0.000115,0.000000,0,rr
0.442521,0.940272,0.823896,0.005433,0.000020,0,rr
0.393035,0.595813,0.827432,0.005100,0.000018,0,rr
0.763827,0.474294,0.774923,0.000214,0.000001,0,rr
0.544516,0.544930,0.912793,0.001357,0.000005,0,rr
0.601961,0.576498,0.946414,0.000540,0.000002,0,rr
0.191087,1.009256,0.404310,0.004230,0.000015,0,rr
0.097487,0.041884,0.000000,0.000804,0.000003,0,rr
0.414868,1.068819,0.681609,0.006566,0.000024,0,rr
0.488628,0.742151,0.963326,0.002391,0.000009,0,rr
0.244889,0.174056,0.200852,0.000936,0.000003,0,rr
0.604001,0.873945,0.945035,0.002352,0.000008,0,rr
0.399049,0.779227,0.860428,0.003088,0.000011,0,rr
0.252969,0.120660,0.150143,0.000073,0.000000,0,rr
0.629188,0.285810,0.517019,0.000118,0.000000,0,rr
0.451587,0.711933,0.932175,0.003001,0.000011,0,rr
1.130185,0.775587,0.687977,0.000568,0.000002,0,rr
0.397871,0.369959,0.588604,0.000760,0.000003,0,rr
0.607074,1.104319,0.720037,0.007725,0.000028,0,rr
0.636077,0.866796,0.937399,0.002805,0.000010,0,rr
0.387852,0.821205,0.833691,0.004185,0.000015,0,rr
0.602009,0.853840,0.958893,0.001930,0.000007,0,rr
0.908143,0.880450,0.788676,0.000590,0.000002,0,rr
0.550797,0.693729,0.994149,0.002129,0.000008,0,rr
0.308019,0.543850,0.661435,0.001313,0.000005,0,rr
0.690977,0.981998,0.818610,0.002325,0.000008,0,rr
0.099740,0.397619,0.000000,0.010094,0.000036,0,rr
0.602038,0.838118,0.966996,0.001374,0.000005,0,rr
1.018147,0.762341,0.766651,0.001348,0.000005,0,rr
0.726732,0.581931,0.893562,0.000846,0.000003,0,rr
0.550385,0.564965,0.931941,0.001224,0.000004,0,rr
0.647850,0.970490,0.848260,0.000541,0.000002,0,rr
0.568867,0.897771,0.926781,0.001848,0.000007,0,rr
1.019991,0.696932,0.768892,0.000799,0.000003,0,rr
0.659713,0.391702,0.695837,0.000453,0.000002,0,rr
0.439642,1.340494,0.431675,0.009128,0.000033,0,rr
0.450664,0.420011,0.710641,0.000385,0.000001,0,rr
0.183663,0.265492,0.228556,0.002147,0.000008,0,rr
0.627128,0.763692,0.985727,0.003125,0.000011,0,rr
0.446397,0.384347,0.650451,0.000051,0.000000,0,rr
0.728733,0.727898,0.938913,0.001843,0.000007,0,rr
0.629754,0.595019,0.949955,0.000405,0.000001,0,rr
0.540071,1.039140,0.790852,0.003685,0.000013,0,rr
0.866770,0.654831,0.853931,0.000804,0.000003,0,rr
1.392069,0.461434,0.388522,0.000218,0.000001,0,rr
0.648740,0.905172,0.904960,0.000882,0.000003,0,rr
0.346565,0.074533,0.000000,0.000008,0.000000,0,rr
0.673932,0.727012,0.967492,0.001361,0.000005,0,rr
0.906011,0.686168,0.837776,0.001182,0.000004,0,rr
0.460862,0.749233,0.938541,0.002560,0.000009,0,rr
0.175805,0.275044,0.228900,0.002152,0.000008,0,rr
0.766629,0.414712,0.692628,0.000279,0.000001,0,rr
0.343507,0.067393,0.000000,0.000673,0.000002,0,rr
0.252762,0.264949,0.298787,0.000785,0.000003,0,rr
