"","Params","logL","AICc","deltaAICc","weight","cumwt"
"cS",3,-146.6683,299.4334,0,0.3952,0.3952
"c.w.interS",5,-145.0482,300.3403,0.9069,0.2511,0.6462
"depS",3,-147.3617,300.8201,1.3868,0.1975,0.8438
"dar.cS",4,-146.5879,301.3377,1.9044,0.1525,0.9963
"vS",3,-151.3286,308.754,9.3206,0.0037,1
"dar.wS",4,-160.9478,330.0576,30.6242,0,1
"s",2,-174.6731,353.3944,53.961,0,1
"wS",3,-173.6752,353.4472,54.0139,0,1
"darS",3,-174.5076,355.112,55.6787,0,1
