xs,position,size,prcnt_finer
8,outer,512,100
8,outer,362,100
8,outer,256,96
8,outer,180,88
8,outer,128,70
8,outer,90,39
8,outer,64,15
8,outer,45,13
8,outer,32,10
8,outer,22.6,3
8,outer,16,0
8,outer,11.3,0
8,outer,8,0
9,inner,512,100
9,inner,362,100
9,inner,256,100
9,inner,180,82
9,inner,128,46
9,inner,90,26
9,inner,64,11
9,inner,45,4
9,inner,32,3
9,inner,22.6,0
9,inner,16,0
9,inner,11.3,0
9,inner,8,0
9,middle,512,100
9,middle,362,100
9,middle,256,100
9,middle,180,99
9,middle,128,89
9,middle,90,67
9,middle,64,48
9,middle,45,21
9,middle,32,6
9,middle,22.6,3
9,middle,16,1
9,middle,11.3,1
9,middle,8,0
9,outer,512,100
9,outer,362,100
9,outer,256,100
9,outer,180,95
9,outer,128,83
9,outer,90,65
9,outer,64,39
9,outer,45,25
9,outer,32,12
9,outer,22.6,6
9,outer,16,0
9,outer,11.3,0
9,outer,8,0
10,inner,512,100
10,inner,362,100
10,inner,256,100
10,inner,180,98
10,inner,128,77
10,inner,90,55
10,inner,64,33
10,inner,45,14
10,inner,32,5
10,inner,22.6,1
10,inner,16,0
10,inner,11.3,0
10,inner,8,0
10,middle,512,100
10,middle,362,100
10,middle,256,100
10,middle,180,99
10,middle,128,83
10,middle,90,60
10,middle,64,27
10,middle,45,11
10,middle,32,3
10,middle,22.6,0
10,middle,16,0
10,middle,11.3,0
10,middle,8,0
10,outer,512,100
10,outer,362,100
10,outer,256,100
10,outer,180,92
10,outer,128,65
10,outer,90,36
10,outer,64,10
10,outer,45,3
10,outer,32,1
10,outer,22.6,0
10,outer,16,0
10,outer,11.3,0
10,outer,8,0
